File Name,LineStrings
4676.json,"[[[127.0, 116.0], [127.0, 181.0]], [[98.0, 73.0], [98.0, 116.0]]]"
2608.json,"[[[104.0, 179.5], [104.0, 114.0]]]"
1927.json,"[[[128.0, 202.5], [180.0, 202.5]], [[128.0, 142.5], [128.0, 202.5]]]"
912.json,"[[[149.0, 234.0], [149.0, 145.0]]]"
2258.json,"[[[122.0, 149.0], [172.0, 149.0]], [[113.0, 54.0], [113.0, 112.5]], [[172.0, 149.0], [172.0, 104.0]]]"
2576.json,"[[[131.5, 90.0], [74.0, 90.0]]]"
2126.json,"[[[112.0, 142.0], [112.0, 214.0]]]"
4158.json,"[[[60.0, 71.0], [60.0, 118.0]], [[60.0, 142.0], [60.0, 189.0]], [[125.0, 189.0], [125.0, 144.5]]]"
695.json,"[[[139.0, 219.0], [139.0, 155.0]]]"
3367.json,"[[[108.0, 100.5], [108.0, 167.0]]]"
4508.json,"[[[97.0, 138.0], [97.0, 211.0]], [[156.0, 211.0], [156.0, 140.5]], [[92.0, 58.0], [92.0, 106.0]]]"
2825.json,"[[[128.0, 120.0], [128.0, 184.0]]]"
3737.json,[]
3222.json,"[[[129.0, 115.0], [129.0, 159.0]], [[193.0, 190.0], [193.0, 128.0]], [[193.0, 104.0], [193.0, 42.0]]]"
380.json,"[[[130.0, 146.0], [173.0, 146.0]], [[173.0, 95.0], [121.0, 95.0]]]"
2960.json,"[[[68.0, 77.0], [68.0, 130.0]]]"
3672.json,[]
3388.json,"[[[129.0, 172.0], [129.0, 114.5]]]"
2433.json,"[[[112.0, 136.0], [156.0, 136.0]]]"
2063.json,"[[[159.5, 97.0], [100.0, 97.0]], [[159.5, 169.0], [159.5, 97.0]]]"
2599.json,"[[[108.0, 125.5], [175.0, 125.5]], [[108.0, 190.0], [108.0, 143.0]]]"
1566.json,"[[[112.0, 144.5], [178.0, 144.5]], [[112.0, 62.0], [112.0, 107.0]]]"
553.json,"[[[136.0, 42.0], [89.0, 42.0]]]"
4764.json,"[[[129.0, 203.0], [129.0, 145.5]]]"
1136.json,"[[[120.0, 109.0], [120.0, 178.0]]]"
103.json,"[[[132.0, 204.0], [132.0, 148.0]]]"
4334.json,"[[[123.5, 153.5], [123.5, 197.0]]]"
3808.json,"[[[153.5, 54.0], [106.0, 54.0]], [[153.5, 140.5], [153.5, 54.0]]]"
1835.json,"[[[96.0, 133.5], [96.0, 184.0]], [[149.0, 184.0], [149.0, 118.0]]]"
800.json,"[[[90.0, 140.0], [138.0, 140.0]], [[185.0, 90.0], [133.0, 90.0]], [[72.0, 90.0], [72.0, 140.0]]]"
945.json,[]
1970.json,[]
416.json,"[[[143.5, 118.0], [195.0, 118.0]]]"
4621.json,[]
1423.json,"[[[128.0, 203.0], [128.0, 125.5]]]"
4271.json,"[[[98.0, 177.0], [98.0, 227.0]], [[155.0, 227.0], [155.0, 134.0]]]"
1589.json,"[[[86.0, 84.0], [86.0, 134.0]]]"
1073.json,"[[[112.0, 140.0], [112.0, 190.0]]]"
1264.json,"[[[142.0, 133.0], [142.0, 194.0]], [[192.0, 194.0], [192.0, 146.0]], [[192.0, 122.0], [192.0, 75.0]]]"
3259.json,"[[[115.0, 189.5], [162.0, 189.5]]]"
251.json,"[[[193.0, 102.0], [144.0, 102.0]], [[55.0, 171.0], [102.0, 171.0]], [[126.0, 171.0], [175.0, 171.0]], [[126.0, 102.0], [126.0, 51.0]], [[102.0, 69.0], [102.0, 121.0]]]"
4066.json,"[[[124.5, 132.0], [76.0, 132.0]]]"
1634.json,"[[[146.5, 190.0], [146.5, 94.0]]]"
3609.json,"[[[116.0, 144.0], [116.0, 200.0]], [[176.0, 153.0], [176.0, 109.0]]]"
601.json,"[[[175.0, 102.5], [112.0, 102.5]]]"
